screen_name,id,parent_id,created_at,favorite_count,retweet_count,follower_count,clean_text,polarity,subjectivity,hashtags,location,coordinates
AJEnglish,1132451317883047936,,Sun May 26 01:00:08 +0000 2019,10,2,5198339,what we are all doing all rationally individually doing each of what we are doing may seem small but the collective impact on sustainability is overwhelming the planet,0.08333333333333333,0.6,,"Doha, Qatar",
victori92735456,1132451927772426240,,Sun May 26 01:02:34 +0000 2019,0,0,9,ajenglish and well he might,0.0,0.0,,,
Independent,1132450176365469696,,Sun May 26 00:55:36 +0000 2019,13,7,2747197,opinion the old flock to farage and the young are on climate strike why,0.1,0.30000000000000004,,"London, England",
Gianni814,1132451084021239808,,Sun May 26 00:59:13 +0000 2019,0,0,52,independent i wonder how many of these kids will be going on a plane with their parents this summer they have no idea what they are on about,0.25,0.3125,,,
PaulCauston,1132450809147469826,,Sun May 26 00:58:07 +0000 2019,0,0,22,independent because the old are racist and the young are growing up quick and would like their children to see a tiger an elephant whale dolphin fish or tree,0.13333333333333333,0.30625,,,
CCamosy,1132450115594129411,,Sun May 26 00:55:22 +0000 2019,14,2,5706,loved him on climate change poverty celebrated him as progressive hero but if he takes a prolife nonviolent stance for disabled childrenmaintaining a stance of mercy support for womenanticatholicism drips from their sick and disturbed comments,0.1071428571428571,0.6614285714285714,,"New York, NY",
jennfrey,1132451313499934721,,Sun May 26 01:00:07 +0000 2019,1,0,1898,ccamosy breaking news the pope is catholic,0.0,0.1,,"Columbia, SC",
David_Ritter,1132450033490513920,,Sun May 26 00:55:02 +0000 2019,4,1,5668,if you are not sure what to do today and need a massive hopeful lift get out and see damongameau new film 2040film which opened at a recordbreaking number of cinemas around australia this weekend it is terrific change is coming regeneration,-0.02840909090909091,0.8358585858585859,"ChangeIsComing, Regeneration","Sydney, New South Wales",
betterwchile,1132448231571562497,,Sun May 26 00:47:52 +0000 2019,4,2,2489,mar1380 hispanosxbeto sampsonelaine betoorourke beto has the only climate change policy w/ measurable timelines/costs/frameworks lauded by environmentalists scientists his medicare for amer cosponsored by bernie senior hc advisor ro just passed the house and now has a policy to spur cap investment for sm business for poc,0.0,1.0,,Texas,
DynastyClaire,1132448131629686784,,Sun May 26 00:47:29 +0000 2019,13,5,1568,for years berniesanders has been consistent and has not wavered on his message to the people combating climate change medicare for all raising wage free public college universal childcare uplift of working class the only logical option is bernie2020,0.15,0.39444444444444443,Bernie2020,"Cleveland, OH",
anya__alvarez,1132446807773130752,,Sun May 26 00:42:13 +0000 2019,6,0,5856,feeling my feelings so i put a note in my phone as a way to let myself know its okay to acknowledge them because not acknowledging them does not mean they no longer exist it is like climate change you can pretend it is not real but it is so best to deal with it right away,0.3683928571428571,0.46464285714285714,,"Brooklyn, NY",
SenWhitehouse,1132446289533263873,,Sun May 26 00:40:09 +0000 2019,55,21,322267,if we succeed on climate it will have a lot to do with folks like jerryjtaylor conservatives who saw through fossil fuel lies and went back to conservative principles for solutions khayhoe bobinglis mitchateen join jerry taylor on roll of honor,0.0,0.0,,Rhode Island,
SalsaPrice,1132451833602027520,,Sun May 26 01:02:11 +0000 2019,0,0,1217,senwhitehouse climatedepot jerryjtaylor khayhoe bobinglis mitchateen the bulwark where transcons go for their transition procedures and therapies,0.0,0.0,,Realville,
45th_POTUS_,1132446774696693761,,Sun May 26 00:42:05 +0000 2019,0,0,3118,senwhitehouse jerryjtaylor khayhoe bobinglis mitchateen climate change has always been a part of earth history from iceage to now until we start providing incentives for automobile companies to offer affordable green vehicles any money given to preventing climate change is a big waist and scam,-0.1,0.2,"iceage, AutomobileCompanies, affordable, BIGWaist, SCAM","Washington, DC",
VotesMaine,1132446706593861632,,Sun May 26 00:41:49 +0000 2019,0,0,13,senwhitehouse jerryjtaylor khayhoe bobinglis mitchateen since when does racism and misogyny and dripping contempt for anyone not rich solve climate change,-0.1875,0.75,,,
EVTimOZ,1132445040351928321,,Sun May 26 00:35:12 +0000 2019,6,1,962,have you heard the one where tree hugging hippie greenies are working with global anonymous bankers to take down the fossil fuel industry through the conspiracy of climate change yeah i thought it was pretty obvious too,0.023611111111111104,0.44722222222222224,,"-37.855409,145.02275",
tweettruth2me,1132443901485359104,,Sun May 26 00:30:40 +0000 2019,7,1,14528,oh i noticed i also noticed they pushed imminent ice age propaganda prior to global warming only a couple of years later it will always be some fictitious movement to scam people into spending money and handing over freedom,-0.02,0.22000000000000003,,"Mississippi, USA",
NaomiOreskes,1132443430099988480,,Sun May 26 00:28:48 +0000 2019,14,6,17192,this is great and depressing thinkprogress posted this in watch the frank capra film that warns of global warming michaelemann petergleick khayhoe climateofgavin and capra was a conservative republican the good old days eh,0.2,0.49000000000000005,,"Massachussetts, USA",
MarkBoslough,1132444869765476354,,Sun May 26 00:34:31 +0000 2019,0,0,3298,naomioreskes thinkprogress michaelemann petergleick khayhoe climateofgavin and he had an engineering degree from caltech,0.0,0.0,,"Albuquerque, NM",
BlknWhtKat,1132441471540326400,,Sun May 26 00:21:01 +0000 2019,4,0,147,skyweatheraus skynewsaust global warming lol,0.4,0.35,,Western Australia,
chriskennett,1132451849204772865,,Sun May 26 01:02:15 +0000 2019,0,0,1170,blknwhtkat skyweatheraus skynewsaust there it is the inevitable dumbfuck comment,0.0,1.0,,,
Frajud12,1132439433129713664,,Sun May 26 00:12:55 +0000 2019,4,0,4719,nikadragomira proudgrannycdn rkn42 wynne should have consulted with hydroqc programs were put in place to lower electricity bill while reducing co2 emissions it was part of addressing global warming as an issue including having a carbon tax policies are better than ideology opposite of what cons and caq do,0.16666666666666666,0.16666666666666666,,"Québec, Canada",
NikaDragomira,1132440268781883393,,Sun May 26 00:16:14 +0000 2019,4,0,1611,frajud12 proudgrannycdn rkn42 i believe ultimately she did consult with hydro qc hydro qc is a bit of a sore spot for nlers like myself but i digress but it was far too late i truly believe she had the best of intentions on everything she did but the hydro was like an albatross around her neck,0.2,0.725,,"St. John's, NL",
OtagoGrad,1132439087619514369,,Sun May 26 00:11:32 +0000 2019,4,1,2892,uah global satellite temp data shows the warming trend in the past yrs has been only +013c per decade so in more years the earth may warm up a mere +016c but we have had overall cooling for the last yrs,0.04375,0.36458333333333337,,Calgary,
Worried_Canuck,1132439812634365952,,Sun May 26 00:14:25 +0000 2019,1,0,527,otagograd oh the annoying facts,-0.8,0.9,,"Ontario, Canada",
nkoranya,1132438334914080775,,Sun May 26 00:08:33 +0000 2019,4,1,16,symfuhny who remembers the time symfuhny met obama at his mansion in calabasas to personally congratulate him on saving hundreds of children from the fire all around california and to discuss on how to stop global warming hero,0.0,0.15,hero,,
unseen1_unseen,1132436566121619456,,Sun May 26 00:01:31 +0000 2019,86,47,24269,if you look at most leftist/dem policies when it comes to the economy they all have one central goal the destruction of the idea of private property rights name the policy global warming wotus oil drilling/mining epa taxes tariffs open borders etc,0.1,0.325,,,
BigBertieT,1132438653421203456,,Sun May 26 00:09:49 +0000 2019,1,0,79,unseen1unseen yes but the goal is not actual marxism they are creating a postcapitalist world order more similar to an oligarchy under communism even the elite must pretend to live within the parameters of their theology the new masters of the universe place no limits on themselves,0.15454545454545454,0.39090909090909093,,,
unseen1_unseen,1132436570177458176,,Sun May 26 00:01:32 +0000 2019,83,35,24269,hell the entire idea of globalism is the destruction of a people and culture ability/right to determine their own personal property/national rights this is not a bug it is a central feature of marxism,0.15,0.54375,,,
sunlorrie,1132434236118622211,,Sat May 25 23:52:16 +0000 2019,5,0,36527,rises around the world neutrality is an important principle in our journalism said paul hambleton standards editor of cbc news we recognise that climate crisis and climate emergency are increasingly common expressions in debates over what to do about global warming,0.03333333333333335,0.5,,website:,
sunlorrie,1132434237007781888,,Sat May 25 23:52:16 +0000 2019,3,1,36527,climate change and global warming offer a neutral starting point for that debate but as with all our journalistic decisions context matters,0.0,0.05,,website:,
riktheozfrog,1132432583768174592,,Sat May 25 23:45:42 +0000 2019,7,13,955,tourettetwit paulinehansonoz viellarisr couriermail let us start one should al gore planned trip to queensland to lecture on the perils of man made global warming at taxpayers expense be cancelled,0.0,0.0,,"Elong Elong, New South Wales",
WesterSou,1132448329084702720,,Sun May 26 00:48:16 +0000 2019,1,0,479,riktheozfrog ajganetti tourettetwit paulinehansonoz viellarisr couriermail i am for free speech for anyone and everyone regardless of what they have to say and will stand up for their fight to say it even if i do not like it i am against taxpayers funding a single cent of this period,0.1642857142857143,0.5071428571428571,,From Rural South Australia.,
NerylMcphee,1132445109683834880,,Sun May 26 00:35:28 +0000 2019,0,0,402,riktheozfrog 826maureen tourettetwit paulinehansonoz viellarisr couriermail pallachook has learnt nothing from the federal election she and her cronies doomed at the next election voters do not forget treachery now associating herself with the soros supported scammer gore,0.0,0.0,,,
GrumpyOldBogan,1132443363548880907,,Sun May 26 00:28:32 +0000 2019,1,0,96,riktheozfrog tourettetwit paulinehansonoz viellarisr couriermail yes unless the greens pay for it as a party political campaign and not be allowed to claim a tax deduction as a religious event,0.0,0.175,,"Adelaide, South Australia",
ginadstevens,1132430367573630976,,Sat May 25 23:36:53 +0000 2019,4,2,56,joej2020usa nobody wants a scientific explanation from a dem remember al gore and his global warming warnings,0.1,0.05,,"Baton Rouge, LA",
SimonJaysek,1132429962043043840,,Sat May 25 23:35:17 +0000 2019,6,2,1878,beverleymaxwe15 johnruddick2 brissiemaid the evidence is overwhelming that global warming is an epic scam wake up scottmorrisonmp,0.19999999999999998,0.4666666666666666,,,
MAVERIC22440705,1132447067954065408,,Sun May 26 00:43:15 +0000 2019,0,0,285,simonjaysek beverleymaxwe15 johnruddick2 brissiemaid scottmorrisonmp spew blue the un climate change is a socialist hoax,0.0,0.1,,Bali,
KirkegaardEmil,1132428377535733761,,Sat May 25 23:28:59 +0000 2019,9,1,7732,what if we bred cows to fart less methane how are that for a genomics partial solution to global warming,-0.08888888888888889,0.12222222222222222,,Denmark,
ovchinnikov,1132437286929477632,,Sun May 26 00:04:23 +0000 2019,0,0,124,kirkegaardemil btw cows ruminate not fart,0.0,0.0,,,
petra_doodles,1132427049388388354,,Sat May 25 23:23:42 +0000 2019,10,3,1497,all this lil fairy wants is for humans to wake up about global warming and to plant more trees,0.2333333333333333,0.19999999999999998,,venmo/$petradoodles,
KEVINBARR420Sea,1132426381231394816,,Sat May 25 23:21:03 +0000 2019,4,0,3527,ziggiezaggie deepstateshu mousemeggy lizlibra100 mdrc76maia romey4 bossyladysunday millmangrace mylastsoberduck nottoofondofyou realrandallpink alekslani lilcox2627 dumptytrumpty chrisironhead msevangelynn barbarellaxo steelerschic85 luciarendn4 mackaveli8 fixesitself lovemyjessica22 gkanders tiredoftrump no actually global warming making seattle like la even getting smog we are a big city now,0.0,0.05,,"Tacoma, WA",
BossyLadySunday,1132426529294524417,,Sat May 25 23:21:38 +0000 2019,5,0,12929,kevinbarr420sea ziggiezaggie deepstateshu mousemeggy lizlibra100 mdrc76maia romey4 millmangrace mylastsoberduck nottoofondofyou realrandallpink alekslani lilcox2627 dumptytrumpty chrisironhead msevangelynn barbarellaxo steelerschic85 luciarendn4 mackaveli8 fixesitself lovemyjessica22 gkanders tiredoftrump that sucks i love seattle,0.1,0.44999999999999996,,Six Feet Over Ground,
ananyaUCLA,1132449421394735104,,Sun May 26 00:52:36 +0000 2019,5,0,9651,contests and claims over urban futures is there a role for planning in climate justice and if so what is a plan the always brilliant kiangoh asks in her keynote talk uclauhi salon,0.45,0.5,,"Los Angeles, CA",
impishchimp,1132448051467960321,,Sun May 26 00:47:09 +0000 2019,4,1,2322,except apparently come up with a climate plan or disavow white supremacy or admit trickle down economics was a decades long scam or stop lying or admit you are in the pocket of big oil and a mouthpiece for corporations shall i go on cdnpoli,-0.031111111111111117,0.22777777777777777,cdnpoli,BC Canada,
manny_ottawa,1132446985204719623,,Sun May 26 00:42:55 +0000 2019,32,19,30168,when liberals tax 5b coal exports to china stop dumping bs litres sewage using jets stop importing me oil put climate tariff on china trudeau vacation harrington lake stop immigration from poor areas stop using rail transport oil i will care,-0.4,0.6,,Ottawa Canada,
annedeblois,1132447101663813632,,Sun May 26 00:43:23 +0000 2019,0,0,3008,mannyottawa that will not happen,0.0,0.0,,"Québec, Canada",
AyadeLeon,1132446689233592323,,Sun May 26 00:41:45 +0000 2019,5,1,4806,sidechicknation 1st novel published about hurricane maria comes out 6/25 a month from today naomiklein called it gripping feminist heist fiction about turning the tables on the disaster capitalists in the jaws of climate apocalypse i could not put it down climate crisis,0.17222222222222222,0.6444444444444445,"SIDECHICKNATION, HurricaneMaria, ClimateCrisis",Wakanda,
AyadeLeon,1132449100492750851,,Sun May 26 00:51:20 +0000 2019,0,0,4806,i tweeted the above having crept away for a moment to get wifi on a family camping trip in california beautiful redwoods i love my people i love this planet i wrote this book as a love song to both may this climate crisis push humanity to just solutions for humans+the earth,0.47000000000000003,0.5800000000000001,ClimateCrisis,Wakanda,
